1782877585.859617 server started (7833): version 3.7, socket /tmp/tmux-1000/default, protocol 8
1782877585.859720 on Linux 7.0.14-arch1-1 #1 SMP PREEMPT_DYNAMIC Sat, 27 Jun 2026 16:15:10 +0000
1782877585.859783 using libevent 2.1.12-stable poll
1782877585.859812 using ncurses 6.6 20251230
1782877585.861933 input_key_build: 0x600200000008 (C-S-F1) is \033[1;6P
1782877585.861996 input_key_build: 0x600200000009 (C-S-F2) is \033[1;6Q
1782877585.862020 input_key_build: 0x60020000000a (C-S-F3) is \033[1;6R
1782877585.862046 input_key_build: 0x60020000000b (C-S-F4) is \033[1;6S
1782877585.862076 input_key_build: 0x60020000000c (C-S-F5) is \033[15;6~
1782877585.862105 input_key_build: 0x60020000000d (C-S-F6) is \033[17;6~
1782877585.862133 input_key_build: 0x60020000000e (C-S-F7) is \033[18;6~
1782877585.862157 input_key_build: 0x60020000000f (C-S-F8) is \033[19;6~
1782877585.862180 input_key_build: 0x600200000010 (C-S-F9) is \033[20;6~
1782877585.862202 input_key_build: 0x600200000011 (C-S-F10) is \033[21;6~
1782877585.862241 input_key_build: 0x600200000012 (C-S-F11) is \033[23;6~
1782877585.862266 input_key_build: 0x600200000013 (C-S-F12) is \033[24;6~
1782877585.862291 input_key_build: 0x600200000014 (C-S-IC) is \033[2;6~
1782877585.862317 input_key_build: 0x600200000015 (C-S-DC) is \033[3;6~
1782877585.862345 input_key_build: 0x600200000016 (C-S-Home) is \033[1;6H
1782877585.862377 input_key_build: 0x600200000017 (C-S-End) is \033[1;6F
1782877585.862410 input_key_build: 0x600200000018 (C-S-NPage) is \033[6;6~
1782877585.862436 input_key_build: 0x600200000019 (C-S-PPage) is \033[5;6~
1782877585.862460 input_key_build: 0x60020000001b (C-S-Up) is \033[1;6A
1782877585.862487 input_key_build: 0x60020000001c (C-S-Down) is \033[1;6B
1782877585.862512 input_key_build: 0x60020000001d (C-S-Left) is \033[1;6D
1782877585.862541 input_key_build: 0x60020000001e (C-S-Right) is \033[1;6C
1782877585.862568 input_key_build: 0x200020000001f (KP/[K]) is \033Oo
1782877585.862595 input_key_build: 0x2000200000020 (KP*[K]) is \033Oj
1782877585.862620 input_key_build: 0x2000200000021 (KP-[K]) is \033Om
1782877585.862644 input_key_build: 0x2000200000022 (KP7[K]) is \033Ow
1782877585.862671 input_key_build: 0x2000200000023 (KP8[K]) is \033Ox
1782877585.862699 input_key_build: 0x2000200000024 (KP9[K]) is \033Oy
1782877585.862723 input_key_build: 0x2000200000025 (KP+[K]) is \033Ok
1782877585.862749 input_key_build: 0x2000200000026 (KP4[K]) is \033Ot
1782877585.862775 input_key_build: 0x2000200000027 (KP5[K]) is \033Ou
1782877585.862825 input_key_build: 0x2000200000028 (KP6[K]) is \033Ov
1782877585.862869 input_key_build: 0x2000200000029 (KP1[K]) is \033Oq
1782877585.862898 input_key_build: 0x200020000002a (KP2[K]) is \033Or
1782877585.862930 input_key_build: 0x200020000002b (KP3[K]) is \033Os
1782877585.862959 input_key_build: 0x200020000002c (KPEnter[K]) is \033OM
1782877585.863025 input_key_build: 0x200020000002d (KP0[K]) is \033Op
1782877585.863053 input_key_build: 0x200020000002e (KP.[K]) is \033On
1782877585.863077 input_key_build: 0x400020000001b (Up[C]) is \033OA
1782877585.863101 input_key_build: 0x400020000001c (Down[C]) is \033OB
1782877585.863124 input_key_build: 0x400020000001d (Left[C]) is \033OD
1782877585.863148 input_key_build: 0x400020000001e (Right[C]) is \033OC
1782877585.863174 input_key_build: 0x8000200000005 (PasteStart[I]) is \033[200~
1782877585.863198 input_key_build: 0x8000200000006 (PasteEnd[I]) is \033[201~
1782877585.863222 input_key_build: 0x8100200000008 (M-F1[I]) is \033[1;3P
1782877585.863247 input_key_build: 0x8100200000009 (M-F2[I]) is \033[1;3Q
1782877585.863271 input_key_build: 0x810020000000a (M-F3[I]) is \033[1;3R
1782877585.863295 input_key_build: 0x810020000000b (M-F4[I]) is \033[1;3S
1782877585.863319 input_key_build: 0x810020000000c (M-F5[I]) is \033[15;3~
1782877585.863343 input_key_build: 0x810020000000d (M-F6[I]) is \033[17;3~
1782877585.863367 input_key_build: 0x810020000000e (M-F7[I]) is \033[18;3~
1782877585.863390 input_key_build: 0x810020000000f (M-F8[I]) is \033[19;3~
1782877585.863414 input_key_build: 0x8100200000010 (M-F9[I]) is \033[20;3~
1782877585.863440 input_key_build: 0x8100200000011 (M-F10[I]) is \033[21;3~
1782877585.863466 input_key_build: 0x8100200000012 (M-F11[I]) is \033[23;3~
1782877585.863491 input_key_build: 0x8100200000013 (M-F12[I]) is \033[24;3~
1782877585.863517 input_key_build: 0x8100200000014 (M-IC[I]) is \033[2;3~
1782877585.863541 input_key_build: 0x8100200000015 (M-DC[I]) is \033[3;3~
1782877585.863568 input_key_build: 0x8100200000016 (M-Home[I]) is \033[1;3H
1782877585.863592 input_key_build: 0x8100200000017 (M-End[I]) is \033[1;3F
1782877585.863618 input_key_build: 0x8100200000018 (M-NPage[I]) is \033[6;3~
1782877585.863642 input_key_build: 0x8100200000019 (M-PPage[I]) is \033[5;3~
1782877585.863666 input_key_build: 0x810020000001b (M-Up[I]) is \033[1;3A
1782877585.863691 input_key_build: 0x810020000001c (M-Down[I]) is \033[1;3B
1782877585.863721 input_key_build: 0x810020000001d (M-Left[I]) is \033[1;3D
1782877585.863749 input_key_build: 0x810020000001e (M-Right[I]) is \033[1;3C
1782877585.863776 input_key_build: 0x8300200000008 (C-M-F1[I]) is \033[1;7P
1782877585.863800 input_key_build: 0x8300200000009 (C-M-F2[I]) is \033[1;7Q
1782877585.863828 input_key_build: 0x830020000000a (C-M-F3[I]) is \033[1;7R
1782877585.863858 input_key_build: 0x830020000000b (C-M-F4[I]) is \033[1;7S
1782877585.863891 input_key_build: 0x830020000000c (C-M-F5[I]) is \033[15;7~
1782877585.863926 input_key_build: 0x830020000000d (C-M-F6[I]) is \033[17;7~
1782877585.863961 input_key_build: 0x830020000000e (C-M-F7[I]) is \033[18;7~
1782877585.864015 input_key_build: 0x830020000000f (C-M-F8[I]) is \033[19;7~
1782877585.864050 input_key_build: 0x8300200000010 (C-M-F9[I]) is \033[20;7~
1782877585.864086 input_key_build: 0x8300200000011 (C-M-F10[I]) is \033[21;7~
1782877585.864110 input_key_build: 0x8300200000012 (C-M-F11[I]) is \033[23;7~
1782877585.864135 input_key_build: 0x8300200000013 (C-M-F12[I]) is \033[24;7~
1782877585.864159 input_key_build: 0x8300200000014 (C-M-IC[I]) is \033[2;7~
1782877585.864184 input_key_build: 0x8300200000015 (C-M-DC[I]) is \033[3;7~
1782877585.864209 input_key_build: 0x8300200000016 (C-M-Home[I]) is \033[1;7H
1782877585.864236 input_key_build: 0x8300200000017 (C-M-End[I]) is \033[1;7F
1782877585.864264 input_key_build: 0x8300200000018 (C-M-NPage[I]) is \033[6;7~
1782877585.864290 input_key_build: 0x8300200000019 (C-M-PPage[I]) is \033[5;7~
1782877585.864319 input_key_build: 0x830020000001b (C-M-Up[I]) is \033[1;7A
1782877585.864345 input_key_build: 0x830020000001c (C-M-Down[I]) is \033[1;7B
1782877585.864397 input_key_build: 0x830020000001d (C-M-Left[I]) is \033[1;7D
1782877585.864445 input_key_build: 0x830020000001e (C-M-Right[I]) is \033[1;7C
1782877585.864472 input_key_build: 0x8500200000008 (M-S-F1[I]) is \033[1;4P
1782877585.864498 input_key_build: 0x8500200000009 (M-S-F2[I]) is \033[1;4Q
1782877585.864532 input_key_build: 0x850020000000a (M-S-F3[I]) is \033[1;4R
1782877585.864559 input_key_build: 0x850020000000b (M-S-F4[I]) is \033[1;4S
1782877585.864585 input_key_build: 0x850020000000c (M-S-F5[I]) is \033[15;4~
1782877585.864609 input_key_build: 0x850020000000d (M-S-F6[I]) is \033[17;4~
1782877585.864635 input_key_build: 0x850020000000e (M-S-F7[I]) is \033[18;4~
1782877585.864661 input_key_build: 0x850020000000f (M-S-F8[I]) is \033[19;4~
1782877585.864687 input_key_build: 0x8500200000010 (M-S-F9[I]) is \033[20;4~
1782877585.864715 input_key_build: 0x8500200000011 (M-S-F10[I]) is \033[21;4~
1782877585.864746 input_key_build: 0x8500200000012 (M-S-F11[I]) is \033[23;4~
1782877585.864779 input_key_build: 0x8500200000013 (M-S-F12[I]) is \033[24;4~
1782877585.864807 input_key_build: 0x8500200000014 (M-S-IC[I]) is \033[2;4~
1782877585.864838 input_key_build: 0x8500200000015 (M-S-DC[I]) is \033[3;4~
1782877585.864868 input_key_build: 0x8500200000016 (M-S-Home[I]) is \033[1;4H
1782877585.864892 input_key_build: 0x8500200000017 (M-S-End[I]) is \033[1;4F
1782877585.864917 input_key_build: 0x8500200000018 (M-S-NPage[I]) is \033[6;4~
1782877585.864947 input_key_build: 0x8500200000019 (M-S-PPage[I]) is \033[5;4~
1782877585.864995 input_key_build: 0x850020000001b (M-S-Up[I]) is \033[1;4A
1782877585.865023 input_key_build: 0x850020000001c (M-S-Down[I]) is \033[1;4B
1782877585.865050 input_key_build: 0x850020000001d (M-S-Left[I]) is \033[1;4D
1782877585.865075 input_key_build: 0x850020000001e (M-S-Right[I]) is \033[1;4C
1782877585.865101 input_key_build: 0x8700200000008 (C-M-S-F1[I]) is \033[1;8P
1782877585.865134 input_key_build: 0x8700200000009 (C-M-S-F2[I]) is \033[1;8Q
1782877585.865164 input_key_build: 0x870020000000a (C-M-S-F3[I]) is \033[1;8R
1782877585.865192 input_key_build: 0x870020000000b (C-M-S-F4[I]) is \033[1;8S
1782877585.865215 input_key_build: 0x870020000000c (C-M-S-F5[I]) is \033[15;8~
1782877585.865242 input_key_build: 0x870020000000d (C-M-S-F6[I]) is \033[17;8~
1782877585.865267 input_key_build: 0x870020000000e (C-M-S-F7[I]) is \033[18;8~
1782877585.865295 input_key_build: 0x870020000000f (C-M-S-F8[I]) is \033[19;8~
1782877585.865323 input_key_build: 0x8700200000010 (C-M-S-F9[I]) is \033[20;8~
1782877585.865352 input_key_build: 0x8700200000011 (C-M-S-F10[I]) is \033[21;8~
1782877585.865378 input_key_build: 0x8700200000012 (C-M-S-F11[I]) is \033[23;8~
1782877585.865404 input_key_build: 0x8700200000013 (C-M-S-F12[I]) is \033[24;8~
1782877585.865429 input_key_build: 0x8700200000014 (C-M-S-IC[I]) is \033[2;8~
1782877585.865454 input_key_build: 0x8700200000015 (C-M-S-DC[I]) is \033[3;8~
1782877585.865478 input_key_build: 0x8700200000016 (C-M-S-Home[I]) is \033[1;8H
1782877585.865511 input_key_build: 0x8700200000017 (C-M-S-End[I]) is \033[1;8F
1782877585.865537 input_key_build: 0x8700200000018 (C-M-S-NPage[I]) is \033[6;8~
1782877585.865563 input_key_build: 0x8700200000019 (C-M-S-PPage[I]) is \033[5;8~
1782877585.865592 input_key_build: 0x870020000001b (C-M-S-Up[I]) is \033[1;8A
1782877585.865619 input_key_build: 0x870020000001c (C-M-S-Down[I]) is \033[1;8B
1782877585.865644 input_key_build: 0x870020000001d (C-M-S-Left[I]) is \033[1;8D
1782877585.865669 input_key_build: 0x870020000001e (C-M-S-Right[I]) is \033[1;8C
1782877585.865837 yylex_token: end at WS
1782877585.865866 yylex_token: bind
1782877585.865895 yylex_token: end at WS
1782877585.865920 yylex_token: -N
1782877585.865948 yylex_token: end at WS
1782877585.865992 yylex_token: Send the prefix key
1782877585.866020 yylex_token: end at WS
1782877585.866044 yylex_token: C-b
1782877585.866070 yylex_token: end at WS
1782877585.866092 yylex_token: send-prefix
1782877585.866125 cmd_parse_build_commands 0:0: bind
1782877585.866169 cmd_parse_build_commands 0:1: -N
1782877585.866211 cmd_parse_build_commands 0:2: Send the prefix key
1782877585.866237 cmd_parse_build_commands 0:3: C-b
1782877585.866270 cmd_parse_build_commands 0:4 0:0: send-prefix
1782877585.866324 cmd_parse_build_commands 0:0: send-prefix
1782877585.866392 args_parse: flags end at 1 of 1
1782877585.866434 cmd_parse_build_commands: send-prefix
1782877585.866460 args_parse_flags: next -N
1782877585.866486 args_parse_flag_argument: -N = Send the prefix key
1782877585.866510 args_parse_flags: next C-b
1782877585.866535 args_parse: flags end at 3 of 5
1782877585.866562 args_parse: 3 = C-b (type STRING)
1782877585.866594 args_parse: 4 = send-prefix (type COMMANDS)
1782877585.866641 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1782877585.866676 cmdq_get_command: [bind-key/0x55c04b339b20] group 6
1782877585.866704 cmdq_append <global>: [bind-key/0x55c04b339b20]
1782877585.866730 yylex_token: end at WS
1782877585.866754 yylex_token: bind
1782877585.866782 yylex_token: end at WS
1782877585.866808 yylex_token: -N
1782877585.866838 yylex_token: end at WS
1782877585.866861 yylex_token: Rotate through the panes
1782877585.866884 yylex_token: end at WS
1782877585.866904 yylex_token: C-o
1782877585.866932 yylex_token: end at WS
1782877585.866954 yylex_token: rotate-window
1782877585.867002 cmd_parse_build_commands 0:0: bind
1782877585.867031 cmd_parse_build_commands 0:1: -N
1782877585.867058 cmd_parse_build_commands 0:2: Rotate through the panes
1782877585.867080 cmd_parse_build_commands 0:3: C-o
1782877585.867105 cmd_parse_build_commands 0:4 0:0: rotate-window
1782877585.867223 cmd_parse_build_commands 0:0: rotate-window
1782877585.867265 args_parse: flags end at 1 of 1
1782877585.867293 cmd_parse_build_commands: rotate-window
1782877585.867317 args_parse_flags: next -N
1782877585.867341 args_parse_flag_argument: -N = Rotate through the panes
1782877585.867363 args_parse_flags: next C-o
1782877585.867387 args_parse: flags end at 3 of 5
1782877585.867414 args_parse: 3 = C-o (type STRING)
1782877585.867440 args_parse: 4 = rotate-window (type COMMANDS)
1782877585.867485 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1782877585.867514 cmdq_get_command: [bind-key/0x55c04b33a060] group 14
1782877585.867538 cmdq_append <global>: [bind-key/0x55c04b33a060]
1782877585.867564 yylex_token: end at WS
1782877585.867589 yylex_token: bind
1782877585.867613 yylex_token: end at WS
1782877585.867639 yylex_token: -N
1782877585.867666 yylex_token: end at WS
1782877585.867690 yylex_token: Suspend the current client
1782877585.867712 yylex_token: end at WS
1782877585.867734 yylex_token: C-z
1782877585.867760 yylex_token: end at WS
1782877585.867783 yylex_token: suspend-client
1782877585.867813 cmd_parse_build_commands 0:0: bind
1782877585.867840 cmd_parse_build_commands 0:1: -N
1782877585.867866 cmd_parse_build_commands 0:2: Suspend the current client
1782877585.867888 cmd_parse_build_commands 0:3: C-z
1782877585.867913 cmd_parse_build_commands 0:4 0:0: suspend-client
1782877585.867940 cmd_parse_build_commands 0:0: suspend-client
1782877585.868001 args_parse: flags end at 1 of 1
1782877585.868029 cmd_parse_build_commands: suspend-client
1782877585.868052 args_parse_flags: next -N
1782877585.868077 args_parse_flag_argument: -N = Suspend the current client
1782877585.868099 args_parse_flags: next C-z
1782877585.868125 args_parse: flags end at 3 of 5
1782877585.868149 args_parse: 3 = C-z (type STRING)
1782877585.868175 args_parse: 4 = suspend-client (type COMMANDS)
1782877585.868220 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1782877585.868256 cmdq_get_command: [bind-key/0x55c04b33a680] group 22
1782877585.868280 cmdq_append <global>: [bind-key/0x55c04b33a680]
1782877585.868303 yylex_token: end at WS
1782877585.868324 yylex_token: bind
1782877585.868346 yylex_token: end at WS
1782877585.868367 yylex_token: -N
1782877585.868394 yylex_token: end at WS
1782877585.868417 yylex_token: Select next layout
1782877585.868460 yylex_token: end at WS
1782877585.868500 yylex_token: Space
1782877585.868525 yylex_token: end at WS
1782877585.868547 yylex_token: next-layout
1782877585.868576 cmd_parse_build_commands 0:0: bind
1782877585.868599 cmd_parse_build_commands 0:1: -N
1782877585.868623 cmd_parse_build_commands 0:2: Select next layout
1782877585.868645 cmd_parse_build_commands 0:3: Space
1782877585.868676 cmd_parse_build_commands 0:4 0:0: next-layout
1782877585.868708 cmd_parse_build_commands 0:0: next-layout
1782877585.868739 args_parse: flags end at 1 of 1
1782877585.868765 cmd_parse_build_commands: next-layout
1782877585.868791 args_parse_flags: next -N
1782877585.868815 args_parse_flag_argument: -N = Select next layout
1782877585.868836 args_parse_flags: next Space
1782877585.868858 args_parse: flags end at 3 of 5
1782877585.868881 args_parse: 3 = Space (type STRING)
1782877585.868906 args_parse: 4 = next-layout (type COMMANDS)
1782877585.868985 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1782877585.869020 cmdq_get_command: [bind-key/0x55c04b33ab10] group 30
1782877585.869044 cmdq_append <global>: [bind-key/0x55c04b33ab10]
1782877585.869068 yylex_token: end at WS
1782877585.869089 yylex_token: bind
1782877585.869112 yylex_token: end at WS
1782877585.869133 yylex_token: -N
1782877585.869159 yylex_token: end at WS
1782877585.869181 yylex_token: Break pane to a new window
1782877585.869202 yylex_token: end at WS
1782877585.869235 yylex_token: !
1782877585.869259 yylex_token: end at WS
1782877585.869280 yylex_token: break-pane
1782877585.869306 cmd_parse_build_commands 0:0: bind
1782877585.869329 cmd_parse_build_commands 0:1: -N
1782877585.869360 cmd_parse_build_commands 0:2: Break pane to a new window
1782877585.869382 cmd_parse_build_commands 0:3: !
1782877585.869411 cmd_parse_build_commands 0:4 0:0: break-pane
1782877585.869437 cmd_parse_build_commands 0:0: break-pane
1782877585.869465 args_parse: flags end at 1 of 1
1782877585.869489 cmd_parse_build_commands: break-pane
1782877585.869518 args_parse_flags: next -N
1782877585.869542 args_parse_flag_argument: -N = Break pane to a new window
1782877585.869566 args_parse_flags: next !
1782877585.869589 args_parse: flags end at 3 of 5
1782877585.869612 args_parse: 3 = ! (type STRING)
1782877585.869639 args_parse: 4 = break-pane (type COMMANDS)
1782877585.869693 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1782877585.869724 cmdq_get_command: [bind-key/0x55c04b33aff0] group 38
1782877585.869746 cmdq_append <global>: [bind-key/0x55c04b33aff0]
1782877585.869771 yylex_token: end at WS
1782877585.869792 yylex_token: bind
1782877585.869815 yylex_token: end at WS
1782877585.869837 yylex_token: -N
1782877585.869862 yylex_token: end at WS
1782877585.869886 yylex_token: Split window vertically
1782877585.869908 yylex_token: end at WS
1782877585.869930 yylex_token: "
1782877585.869955 yylex_token: end at WS
1782877585.869995 yylex_token: split-window
1782877585.870024 cmd_parse_build_commands 0:0: bind
1782877585.870054 cmd_parse_build_commands 0:1: -N
1782877585.870077 cmd_parse_build_commands 0:2: Split window vertically
1782877585.870101 cmd_parse_build_commands 0:3: "
1782877585.870125 cmd_parse_build_commands 0:4 0:0: split-window
1782877585.870152 cmd_parse_build_commands 0:0: split-window
1782877585.870185 args_parse: flags end at 1 of 1
1782877585.870212 cmd_parse_build_commands: split-window
1782877585.870236 args_parse_flags: next -N
1782877585.870261 args_parse_flag_argument: -N = Split window vertically
1782877585.870284 args_parse_flags: next "
1782877585.870309 args_parse: flags end at 3 of 5
1782877585.870335 args_parse: 3 = " (type STRING)
1782877585.870366 args_parse: 4 = split-window (type COMMANDS)
1782877585.870406 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1782877585.870435 cmdq_get_command: [bind-key/0x55c04b33b580] group 46
1782877585.870458 cmdq_append <global>: [bind-key/0x55c04b33b580]
1782877585.870488 yylex_token: end at WS
1782877585.870528 yylex_token: bind
1782877585.870567 yylex_token: end at WS
1782877585.870589 yylex_token: -N
1782877585.870620 yylex_token: end at WS
1782877585.870643 yylex_token: List all paste buffers
1782877585.870666 yylex_token: end at WS
1782877585.870687 yylex_token: #
1782877585.870712 yylex_token: end at WS
1782877585.870735 yylex_token: list-buffers
1782877585.870762 cmd_parse_build_commands 0:0: bind
1782877585.870786 cmd_parse_build_commands 0:1: -N
1782877585.870809 cmd_parse_build_commands 0:2: List all paste buffers
1782877585.870833 cmd_parse_build_commands 0:3: #
1782877585.870857 cmd_parse_build_commands 0:4 0:0: list-buffers
1782877585.870884 cmd_parse_build_commands 0:0: list-buffers
1782877585.870914 args_parse: flags end at 1 of 1
1782877585.870938 cmd_parse_build_commands: list-buffers
1782877585.870962 args_parse_flags: next -N
1782877585.871007 args_parse_flag_argument: -N = List all paste buffers
1782877585.871029 args_parse_flags: next #
1782877585.871058 args_parse: flags end at 3 of 5
1782877585.871080 args_parse: 3 = # (type STRING)
1782877585.871106 args_parse: 4 = list-buffers (type COMMANDS)
1782877585.871145 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1782877585.871174 cmdq_get_command: [bind-key/0x55c04b33ba60] group 54
1782877585.871198 cmdq_append <global>: [bind-key/0x55c04b33ba60]
1782877585.871223 yylex_token: end at WS
1782877585.871244 yylex_token: bind
1782877585.871271 yylex_token: end at WS
1782877585.871292 yylex_token: -N
1782877585.871319 yylex_token: end at WS
1782877585.871342 yylex_token: Rename current session
1782877585.871380 yylex_token: end at WS
1782877585.871401 yylex_token: $
1782877585.871424 yylex_token: end at WS
1782877585.871444 yylex_token: command-prompt
1782877585.871467 yylex_token: end at WS
1782877585.871488 yylex_token: -I#S
1782877585.871510 yylex_token: end at WS
1782877585.871534 yylex_token: rename-session
1782877585.871553 yylex_token: end at WS
1782877585.871573 yylex_token: --
1782877585.871593 yylex_token: end at WS
1782877585.871613 yylex_token: %%
1782877585.871638 cmd_parse_build_commands 0:0: bind
1782877585.871660 cmd_parse_build_commands 0:1: -N
1782877585.871681 cmd_parse_build_commands 0:2: Rename current session
1782877585.871701 cmd_parse_build_commands 0:3: $
1782877585.871722 cmd_parse_build_commands 0:4 0:0: command-prompt
1782877585.871744 cmd_parse_build_commands 0:4 0:1: -I#S
1782877585.871766 cmd_parse_build_commands 0:4 0:2 0:0: rename-session
